,Title,Link,Price,Image,Year,Brand,Location,Kms Covered,Fuel Type,Type
1221,2018 Honda Amaze 2nd Gen S,https://www.cardekho.com/buy-used-car-details/used-Honda-amaze-2nd-gen-s-cars-Noida_ca407433-0cb4-45a9-8db7-0cab40ef06ad.htm,407000.0,https://images10.gaadi.com/usedcar_image/5070306/original/5eda14ec15f5acc373ab05164c04c04f.JPG?imwidth=640,2018,Honda,Noida,46841.0,Petrol,Manual
1222,2016 Honda BR-V i-VTEC S MT,https://www.cardekho.com/buy-used-car-details/used-Honda-br-v-i-vtec-s-mt-cars-Noida_5e5d543f-5b13-4fae-92fe-18748cb2e099.htm,418000.0,https://images10.gaadi.com/usedcar_image/5140098/original/ddcb7d346003d0c414f8f2e495689cde.jpg?imwidth=640,2016,Honda,"Sector 18, Noida",28582.0,Petrol,Manual
1223,2020 Honda Amaze S Petrol,https://www.cardekho.com/used-car-details/used-Honda-amaze-s-petrol-cars-New-Delhi_ce976183-65a3-44b0-9754-20da2ef32def.htm?adId=22696&adType=41,425000.0,https://images10.gaadi.com/usedgaadi-sellcar/UsedCar/c6003614a/cfb861b9-f827-4704-aaec-19d1db14132f.jpeg?imwidth=640,2020,Honda,"Alaknanda, New Delhi",52000.0,Petrol,Manual
1224,2017 Honda City i-VTEC CVT ZX,https://www.cardekho.com/used-car-details/used-Honda-city-i-vtec-cvt-zx-cars-Gurgaon_0b6469ed-d068-4c93-9fac-44be9deb1220.htm,625000.0,https://images10.gaadi.com/usedcar_image/5161289/original/processed_7eb07b7b-a8ec-4044-96be-d92becaf179b.jpg?imwidth=640,2017,Honda,"Sector-45, Gurgaon",83000.0,Petrol,Automatic
1225,2015 Honda City i VTEC CVT VX,https://www.cardekho.com/buy-used-car-details/used-Honda-city-i-vtec-cvt-vx-cars-New-Delhi_d3e63bf7-6bf7-4462-91e9-0492f8d6ac16.htm,464000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2015,Honda,"Rohini Courts, New Delhi",79184.0,Petrol,Automatic
1226,2022 Honda Amaze 2nd Gen S BSVI,https://www.cardekho.com/used-car-details/used-Honda-amaze-2nd-gen-s-bsvi-cars-New-Delhi_1d9ed1c3-7926-4057-a565-a0253f9eab2e.htm,570000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2022,Honda,"Saraswati Vihar, New Delhi",35000.0,Petrol,Manual
1227,2017 Honda Jazz 1.2 S i VTEC,https://www.cardekho.com/used-car-details/used-Honda-jazz-12-s-i-vtec-cars-New-Delhi_18613366-1046-47e2-883a-804c44c7ba05.htm?adId=22647&adType=41,350000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Honda,"Vikaspuri, New Delhi",61020.0,Petrol,Manual
1228,2016 Honda City i VTEC V,https://www.cardekho.com/used-car-details/used-Honda-city-i-vtec-v-cars-New-Delhi_6e451a4f-34a7-42c0-9df3-88fcd0b5750f.htm,490000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2016,Honda,"Defence Colony, New Delhi",44000.0,Petrol,Manual
1229,2015 Honda Jazz 1.2 V AT i VTEC,https://www.cardekho.com/used-car-details/used-Honda-jazz-12-v-at-i-vtec-cars-New-Delhi_687dc802-81cf-4f53-b54f-c31e214ee75f.htm,400000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2015,Honda,"Defence Colony, New Delhi",76000.0,Petrol,Automatic
1230,2014 Honda City i VTEC CVT VX,https://www.cardekho.com/used-car-details/used-Honda-city-i-vtec-cvt-vx-cars-New-Delhi_32d9b26c-29a9-4443-8886-28d54be8357f.htm,435000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2014,Honda,"Ashok Nagar, New Delhi",68000.0,Petrol,Automatic
