,Title,Link,Location,Price,Image,Fuel Type,Type,Year,Kms Covered,Brand,Exterior Color,Interior Color,Registration,Ownership,price_display,Platform
296,2024/26 MERCEDES BENZ CLE 300 CABRIOLET,https://fusioncars.in/cars/2017-mercedes-benz-e-200-2/,,9800000.0,https://fusioncars.in/wp-content/themes/Fusion%20Cars/assets/images/header_logo.png,Petrol,,2026.0,5000.0,,,,,,"₹98,00,000",fusioncars.in
297,2018/20 PORSCHE 718 BOXSTER,https://fusioncars.in/cars/2018-19-porsche-boxster-718/,,8100000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Petrol,,2020.0,19000.0,,,,,,"₹81,00,000",fusioncars.in
298,2024/25 BMW X5 40I M SPORTS,https://fusioncars.in/cars/2023-bmw-x5-40i-m-sports/,,9000000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Petrol,,2025.0,13000.0,,,,,,"₹90,00,000",fusioncars.in
299,2014/15 JAGUAR F-TYPE,https://fusioncars.in/cars/2014-15-jaguar-f-type/,,5600000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Petrol,,2015.0,38000.0,,,,,,"₹56,00,000",fusioncars.in
300,2018/20 PORSCHE 718 BOXSTER,https://fusioncars.in/cars/2018-porsche-boxster-718-2/,,8100000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Petrol,,2020.0,19000.0,,,,,,"₹81,00,000",fusioncars.in
301,2024/26 MERCEDES BENZ CLE 300 CABRIOLET,https://fusioncars.in/cars/2018-19-mercedes-benz-cla-200-sports/,,9800000.0,https://fusioncars.in/wp-content/themes/Fusion%20Cars/assets/images/header_logo.png,Petrol,,2026.0,5000.0,,,,,,"₹98,00,000",fusioncars.in
302,2023 TOYOTA FORTUNER LEGENDER 4*2 AUTO,https://fusioncars.in/cars/2022-23-toyota-land-cruiser-zx/,,3850000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Diesel,,2023.0,52000.0,,,,,,"₹38,50,000",fusioncars.in
303,2024/25 BMW X5 40I M SPORTS,https://fusioncars.in/cars/2021-bmw-x1-s-drive-20i-xline/,,9000000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Petrol,,2025.0,13000.0,,,,,,"₹90,00,000",fusioncars.in
304,2018 FORD MUSTANG GT 5.0L,https://fusioncars.in/cars/2016-ford-mustang-gt-5-0l/,,7800000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Petrol,,2018.0,36000.0,,,,,,"₹78,00,000",fusioncars.in
305,2024/26 MERCEDES BENZ CLE 300 CABRIOLET,https://fusioncars.in/cars/2018-19-mercedes-benz-gla-200/,,9800000.0,https://fusioncars.in/wp-content/themes/Fusion%20Cars/assets/images/header_logo.png,Petrol,,2026.0,5000.0,,,,,,"₹98,00,000",fusioncars.in
306,2023 KIA CARNIVAL D2 28 AT PRESTIGE 7 STR,https://fusioncars.in/cars/2021-kia-carnival-d2-28-at-limousine-7/,,4450000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Diesel,,2023.0,9000.0,,,,,,"₹44,50,000",fusioncars.in
307,2024/26 MERCEDES BENZ CLE 300 CABRIOLET,https://fusioncars.in/cars/2020-mercedes-benz-g350d/,,9800000.0,https://fusioncars.in/wp-content/themes/Fusion%20Cars/assets/images/header_logo.png,Petrol,,2026.0,5000.0,,,,,,"₹98,00,000",fusioncars.in
308,2024/26 MERCEDES BENZ CLE 300 CABRIOLET,https://fusioncars.in/cars/2017-mercedes-benz-cla-200/,,9800000.0,https://fusioncars.in/wp-content/themes/Fusion%20Cars/assets/images/header_logo.png,Petrol,,2026.0,5000.0,,,,,,"₹98,00,000",fusioncars.in
309,2019/21 VOLVO XC90 T8 EXCELLENCE,https://fusioncars.in/cars/2022-23-volvo-xc60-d5/,,7500000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Petrol,,2021.0,29000.0,,,,,,"₹75,00,000",fusioncars.in
310,2021/23 AUDI Q7 55 TFSI PREMIUM PLUS,https://fusioncars.in/cars/2022-audi-q7-55-tfsi-q-premium-plus/,,5600000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Petrol,,2023.0,37000.0,,,,,,"₹56,00,000",fusioncars.in
311,2023 JEEP WRANGLER UNLIMITED 2.0L,https://fusioncars.in/cars/2021-jeep-wrangler-rubicon-2-0l/,,4900000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Petrol,,2023.0,29000.0,,,,,,"₹49,00,000",fusioncars.in
312,2025 RANGE ROVER VELAR DYN HSE,https://fusioncars.in/cars/2021-range-rover-sports-hse/,,8400000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Petrol,,2025.0,19000.0,,,,,,"₹84,00,000",fusioncars.in
313,2025 RANGE ROVER VELAR DYN HSE,https://fusioncars.in/cars/2022-range-rover-sports-hse/,,8400000.0,https://fusioncars.in/wp-content/themes/Fusion%20Cars/assets/images/header_logo.png,Petrol,,2025.0,19000.0,,,,,,"₹84,00,000",fusioncars.in
314,2014/15 JAGUAR F-TYPE,https://fusioncars.in/cars/2019-jaguar-f-pace-2-0l-prestige-2/,,5600000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Petrol,,2015.0,38000.0,,,,,,"₹56,00,000",fusioncars.in
315,2024/25 BMW X5 40I M SPORTS,https://fusioncars.in/cars/2022-bmw-x4-xdrive-30i-m-sports-shadow-edition/,,9000000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Petrol,,2025.0,13000.0,,,,,,"₹90,00,000",fusioncars.in
316,2015/16 LAMBORGHINI HURACAN COUPE LP 610-4,https://fusioncars.in/cars/2022-lamborghini-urus/,,23500000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Petrol,,2016.0,19000.0,,,,,,"₹2,35,00,000",fusioncars.in
317,2024/25 BMW X5 40I M SPORTS,https://fusioncars.in/cars/2020-bmw-x7-40i-m-sports/,,9000000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Petrol,,2025.0,13000.0,,,,,,"₹90,00,000",fusioncars.in
318,2023 TOYOTA FORTUNER LEGENDER 4*2 AUTO,https://fusioncars.in/cars/2023-toyota-vellfire-hybrid/,,3850000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Diesel,,2023.0,52000.0,,,,,,"₹38,50,000",fusioncars.in
319,2024/26 MERCEDES BENZ CLE 300 CABRIOLET,https://fusioncars.in/cars/2022-mercedes-benz-glc-43-amg/,,9800000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Petrol,,2026.0,5000.0,,,,,,"₹98,00,000",fusioncars.in
320,2024/26 MERCEDES BENZ CLE 300 CABRIOLET,https://fusioncars.in/cars/2020-mercedes-benz-s400d-4matic-launch-edition/,,9800000.0,https://fusioncars.in/wp-content/themes/Fusion%20Cars/assets/images/header_logo.png,Petrol,,2026.0,5000.0,,,,,,"₹98,00,000",fusioncars.in
321,2025 RANGE ROVER VELAR DYN HSE,https://fusioncars.in/cars/2020-21-range-rover-evoque-2-0-r-dynamic/,,8400000.0,https://fusioncars.in/wp-content/themes/Fusion%20Cars/assets/images/header_logo.png,Petrol,,2025.0,19000.0,,,,,,"₹84,00,000",fusioncars.in
322,2024/26 MERCEDES BENZ CLE 300 CABRIOLET,https://fusioncars.in/cars/2019-20-mercedes-benz-gle-43-amg-4matic-coupe/,,9800000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Petrol,,2026.0,5000.0,,,,,,"₹98,00,000",fusioncars.in
323,2024/25 BMW X5 40I M SPORTS,https://fusioncars.in/cars/2021-bmw-330-li-gran-limousine/,,9000000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Petrol,,2025.0,13000.0,,,,,,"₹90,00,000",fusioncars.in
324,2024/25 BMW X5 40I M SPORTS,https://fusioncars.in/cars/2022-bmw-530-i-m-sports-2/,,9000000.0,https://fusioncars.in/wp-content/themes/Fusion%20Cars/assets/images/header_logo.png,Petrol,,2025.0,13000.0,,,,,,"₹90,00,000",fusioncars.in
325,2024/26 MERCEDES BENZ CLE 300 CABRIOLET,https://fusioncars.in/cars/2023-24-mercedes-benz-amg-e53-cabriolet/,,9800000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Petrol,,2026.0,5000.0,,,,,,"₹98,00,000",fusioncars.in
326,2018/20 PORSCHE 718 BOXSTER,https://fusioncars.in/cars/2020-21-porsche-718-boxster/,,8100000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Petrol,,2020.0,19000.0,,,,,,"₹81,00,000",fusioncars.in
327,2024/26 MERCEDES BENZ CLE 300 CABRIOLET,https://fusioncars.in/cars/2017-18-mercedes-benz-c300-cabriolet/,,9800000.0,https://fusioncars.in/wp-content/themes/Fusion%20Cars/assets/images/header_logo.png,Petrol,,2026.0,5000.0,,,,,,"₹98,00,000",fusioncars.in
328,2024/25 BMW X5 40I M SPORTS,https://fusioncars.in/cars/2020-21-bmw-530i-m-sport/,,9000000.0,https://fusioncars.in/wp-content/themes/Fusion%20Cars/assets/images/header_logo.png,Petrol,,2025.0,13000.0,,,,,,"₹90,00,000",fusioncars.in
329,2024/26 MERCEDES BENZ CLE 300 CABRIOLET,https://fusioncars.in/cars/2016-17-mercedes-benz-amg-c43-4matic/,,9800000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Petrol,,2026.0,5000.0,,,,,,"₹98,00,000",fusioncars.in
330,2024/26 MERCEDES BENZ CLE 300 CABRIOLET,https://fusioncars.in/cars/2018-mercedes-benz-cla-200-sports-3/,,9800000.0,https://fusioncars.in/wp-content/themes/Fusion%20Cars/assets/images/header_logo.png,Petrol,,2026.0,5000.0,,,,,,"₹98,00,000",fusioncars.in
331,2024/26 MERCEDES BENZ CLE 300 CABRIOLET,https://fusioncars.in/cars/2018-19-mercedes-benz-cla-200d-2/,,9800000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",Petrol,,2026.0,5000.0,,,,,,"₹98,00,000",fusioncars.in
